DATE	DEXUSEU
14-08-2014	1.3376
15-08-2014	1.3392
18-08-2014	1.3358
19-08-2014	1.332
20-08-2014	1.3284
21-08-2014	1.3284
22-08-2014	1.3237
25-08-2014	1.3206
26-08-2014	1.3189
27-08-2014	1.3192
28-08-2014	1.3178
29-08-2014	1.315
01-09-2014	.
02-09-2014	1.3124
03-09-2014	1.3136
04-09-2014	1.2926
05-09-2014	1.2956
08-09-2014	1.2948
09-09-2014	1.2909
10-09-2014	1.2908
11-09-2014	1.2936
12-09-2014	1.2955
15-09-2014	1.2951
16-09-2014	1.2976
17-09-2014	1.2958
18-09-2014	1.2913
19-09-2014	1.2835
22-09-2014	1.2829
23-09-2014	1.2858
24-09-2014	1.2788
25-09-2014	1.2748
26-09-2014	1.2686
29-09-2014	1.2703
30-09-2014	1.2628
01-10-2014	1.2618
02-10-2014	1.267
03-10-2014	1.2517
06-10-2014	1.2592
07-10-2014	1.2626
08-10-2014	1.2683
09-10-2014	1.2683
10-10-2014	1.2636
13-10-2014	.
14-10-2014	1.266
15-10-2014	1.2778
16-10-2014	1.2812
17-10-2014	1.2755
20-10-2014	1.2783
21-10-2014	1.2724
22-10-2014	1.2658
23-10-2014	1.2658
24-10-2014	1.2675
27-10-2014	1.2712
28-10-2014	1.2747
29-10-2014	1.2762
30-10-2014	1.2622
31-10-2014	1.253
03-11-2014	1.2487
04-11-2014	1.2554
05-11-2014	1.2488
06-11-2014	1.2414
07-11-2014	1.2422
10-11-2014	1.2425
11-11-2014	.
12-11-2014	1.2456
13-11-2014	1.2476
14-11-2014	1.2494
17-11-2014	1.2447
18-11-2014	1.2534
19-11-2014	1.2548
20-11-2014	1.2526
21-11-2014	1.2394
24-11-2014	1.2427
25-11-2014	1.2472
26-11-2014	1.2503
27-11-2014	.
28-11-2014	1.2438
01-12-2014	1.249
02-12-2014	1.239
03-12-2014	1.2304
04-12-2014	1.2432
05-12-2014	1.2304
08-12-2014	1.2292
09-12-2014	1.2415
10-12-2014	1.2425
11-12-2014	1.2397
12-12-2014	1.2484
15-12-2014	1.247
16-12-2014	1.2504
17-12-2014	1.2406
18-12-2014	1.2291
19-12-2014	1.2235
22-12-2014	1.2252
23-12-2014	1.218
24-12-2014	1.2188
25-12-2014	.
26-12-2014	.
29-12-2014	1.2179
30-12-2014	1.2174
31-12-2014	1.2101
01-01-2015	.
02-01-2015	1.2015
05-01-2015	1.1918
06-01-2015	1.1936
07-01-2015	1.182
08-01-2015	1.1811
09-01-2015	1.183
12-01-2015	1.1832
13-01-2015	1.1779
14-01-2015	1.1806
15-01-2015	1.1598
16-01-2015	1.1517
19-01-2015	.
20-01-2015	1.1559
21-01-2015	1.1584
22-01-2015	1.1414
23-01-2015	1.1279
26-01-2015	1.129
27-01-2015	1.137
28-01-2015	1.1342
29-01-2015	1.1308
30-01-2015	1.129
02-02-2015	1.1337
03-02-2015	1.1462
04-02-2015	1.1418
05-02-2015	1.1432
06-02-2015	1.133
09-02-2015	1.1316
10-02-2015	1.1316
11-02-2015	1.13
12-02-2015	1.141
13-02-2015	1.1408
16-02-2015	.
17-02-2015	1.1395
18-02-2015	1.1342
19-02-2015	1.1392
20-02-2015	1.1372
23-02-2015	1.1346
24-02-2015	1.1307
25-02-2015	1.1363
26-02-2015	1.1212
27-02-2015	1.1197
02-03-2015	1.119
03-03-2015	1.1212
04-03-2015	1.107
05-03-2015	1.1006
06-03-2015	1.0855
09-03-2015	1.0846
10-03-2015	1.0707
11-03-2015	1.0576
12-03-2015	1.0615
13-03-2015	1.0524
16-03-2015	1.0575
17-03-2015	1.0605
18-03-2015	1.0643
19-03-2015	1.0621
20-03-2015	1.0792
23-03-2015	1.0928
24-03-2015	1.0908
25-03-2015	1.0986
26-03-2015	1.0919
27-03-2015	1.0891
30-03-2015	1.0818
31-03-2015	1.0741
01-04-2015	1.0768
02-04-2015	1.0874
03-04-2015	1.099
06-04-2015	1.1008
07-04-2015	1.085
08-04-2015	1.0818
09-04-2015	1.0671
10-04-2015	1.0598
13-04-2015	1.0582
14-04-2015	1.0672
15-04-2015	1.0596
16-04-2015	1.0742
17-04-2015	1.078
20-04-2015	1.0763
21-04-2015	1.0758
22-04-2015	1.0729
23-04-2015	1.0803
24-04-2015	1.0876
27-04-2015	1.0892
28-04-2015	1.0979
29-04-2015	1.1174
30-04-2015	1.1162
01-05-2015	1.1194
04-05-2015	1.1145
05-05-2015	1.1174
06-05-2015	1.1345
07-05-2015	1.1283
08-05-2015	1.1241
11-05-2015	1.1142
12-05-2015	1.124
13-05-2015	1.1372
14-05-2015	1.1368
15-05-2015	1.1428
18-05-2015	1.1354
19-05-2015	1.1151
20-05-2015	1.1079
21-05-2015	1.1126
22-05-2015	1.1033
25-05-2015	.
26-05-2015	1.0876
27-05-2015	1.0888
28-05-2015	1.0914
29-05-2015	1.0994
01-06-2015	1.0913
02-06-2015	1.113
03-06-2015	1.1285
04-06-2015	1.1271
05-06-2015	1.1108
08-06-2015	1.1232
09-06-2015	1.1284
10-06-2015	1.1307
11-06-2015	1.1236
12-06-2015	1.1278
15-06-2015	1.1266
16-06-2015	1.1238
17-06-2015	1.1244
18-06-2015	1.1404
19-06-2015	1.1335
22-06-2015	1.1378
23-06-2015	1.119
24-06-2015	1.1178
25-06-2015	1.1196
26-06-2015	1.1156
29-06-2015	1.118
30-06-2015	1.1154
01-07-2015	1.1084
02-07-2015	1.109
03-07-2015	.
06-07-2015	1.1076
07-07-2015	1.0952
08-07-2015	1.1072
09-07-2015	1.1025
10-07-2015	1.115
13-07-2015	1.102
14-07-2015	1.1015
15-07-2015	1.0965
16-07-2015	1.0898
17-07-2015	1.0848
20-07-2015	1.085
21-07-2015	1.0927
22-07-2015	1.0884
23-07-2015	1.0976
24-07-2015	1.0976
27-07-2015	1.1112
28-07-2015	1.1055
29-07-2015	1.1026
30-07-2015	1.0914
31-07-2015	1.1028
03-08-2015	1.0962
04-08-2015	1.0953
05-08-2015	1.0868
06-08-2015	1.0922
07-08-2015	1.0958
10-08-2015	1.0994
11-08-2015	1.1042
12-08-2015	1.1198
13-08-2015	1.1144
14-08-2015	1.111
17-08-2015	1.1078
18-08-2015	1.1028
19-08-2015	1.1061
20-08-2015	1.12
21-08-2015	1.1356
24-08-2015	1.158
25-08-2015	1.141
26-08-2015	1.139
27-08-2015	1.1239
28-08-2015	1.1172
31-08-2015	1.1194
01-09-2015	1.1263
02-09-2015	1.1242
03-09-2015	1.1104
04-09-2015	1.1117
07-09-2015	.
08-09-2015	1.1182
09-09-2015	1.1165
10-09-2015	1.1262
11-09-2015	1.1338
14-09-2015	1.1307
15-09-2015	1.126
16-09-2015	1.1304
17-09-2015	1.1312
18-09-2015	1.1358
21-09-2015	1.1204
22-09-2015	1.1133
23-09-2015	1.116
24-09-2015	1.1252
25-09-2015	1.1192
28-09-2015	1.1236
29-09-2015	1.1246
30-09-2015	1.1162
01-10-2015	1.12
02-10-2015	1.1276
05-10-2015	1.12
06-10-2015	1.1266
07-10-2015	1.1249
08-10-2015	1.1282
09-10-2015	1.1363
12-10-2015	.
13-10-2015	1.1382
14-10-2015	1.1437
15-10-2015	1.1418
16-10-2015	1.136
19-10-2015	1.132
20-10-2015	1.1359
21-10-2015	1.1345
22-10-2015	1.114
23-10-2015	1.1016
26-10-2015	1.1051
27-10-2015	1.1052
28-10-2015	1.1066
29-10-2015	1.0963
30-10-2015	1.1042
02-11-2015	1.1026
03-11-2015	1.0946
04-11-2015	1.0861
05-11-2015	1.0869
06-11-2015	1.0746
09-11-2015	1.0767
10-11-2015	1.0686
11-11-2015	.
12-11-2015	1.0768
13-11-2015	1.0722
16-11-2015	1.0708
17-11-2015	1.0634
18-11-2015	1.0638
19-11-2015	1.0746
20-11-2015	1.066
23-11-2015	1.0602
24-11-2015	1.0652
25-11-2015	1.0616
26-11-2015	.
27-11-2015	1.0596
30-11-2015	1.0562
01-12-2015	1.062
02-12-2015	1.0573
03-12-2015	1.0902
04-12-2015	1.0884
07-12-2015	1.084
08-12-2015	1.0876
09-12-2015	1.0984
10-12-2015	1.0948
11-12-2015	1.1002
14-12-2015	1.1025
15-12-2015	1.0911
16-12-2015	1.0937
17-12-2015	1.0804
18-12-2015	1.0847
21-12-2015	1.092
22-12-2015	1.0978
23-12-2015	1.0875
24-12-2015	1.0955
25-12-2015	.
28-12-2015	1.0983
29-12-2015	1.0916
30-12-2015	1.0912
31-12-2015	1.0859
01-01-2016	.
04-01-2016	1.0803
05-01-2016	1.0743
06-01-2016	1.0762
07-01-2016	1.086
08-01-2016	1.0885
11-01-2016	1.0878
12-01-2016	1.0837
13-01-2016	1.0862
14-01-2016	1.0862
15-01-2016	1.0964
18-01-2016	.
19-01-2016	1.0906
20-01-2016	1.0908
21-01-2016	1.0833
22-01-2016	1.0814
25-01-2016	1.0832
26-01-2016	1.0846
27-01-2016	1.0867
28-01-2016	1.0952
29-01-2016	1.0832
01-02-2016	1.0888
02-02-2016	1.0908
03-02-2016	1.1051
04-02-2016	1.1199
05-02-2016	1.1131
08-02-2016	1.117
09-02-2016	1.13
10-02-2016	1.1222
11-02-2016	1.1362
12-02-2016	1.1235
15-02-2016	.
16-02-2016	1.114
17-02-2016	1.114
18-02-2016	1.1092
19-02-2016	1.1127
22-02-2016	1.1018
23-02-2016	1.1016
24-02-2016	1.1021
25-02-2016	1.1026
26-02-2016	1.0932
29-02-2016	1.0868
01-03-2016	1.0847
02-03-2016	1.0845
03-03-2016	1.0948
04-03-2016	1.101
07-03-2016	1.1004
08-03-2016	1.1028
09-03-2016	1.1022
10-03-2016	1.1162
11-03-2016	1.118
14-03-2016	1.1107
15-03-2016	1.1112
16-03-2016	1.1075
17-03-2016	1.1316
18-03-2016	1.1292
21-03-2016	1.126
22-03-2016	1.1228
23-03-2016	1.1174
24-03-2016	1.1163
25-03-2016	1.1164
28-03-2016	1.121
29-03-2016	1.1204
30-03-2016	1.133
31-03-2016	1.139
01-04-2016	1.1385
04-04-2016	1.1386
05-04-2016	1.1374
06-04-2016	1.143
07-04-2016	1.1386
08-04-2016	1.1406
11-04-2016	1.1412
12-04-2016	1.1395
13-04-2016	1.1281
14-04-2016	1.1262
15-04-2016	1.1295
18-04-2016	1.1322
19-04-2016	1.1375
20-04-2016	1.133
21-04-2016	1.1301
22-04-2016	1.1239
25-04-2016	1.1274
26-04-2016	1.1318
27-04-2016	1.1322
28-04-2016	1.1325
29-04-2016	1.1441
02-05-2016	1.1516
03-05-2016	1.1508
04-05-2016	1.1486
05-05-2016	1.1404
06-05-2016	1.1421
09-05-2016	1.1402
10-05-2016	1.1386
11-05-2016	1.1444
12-05-2016	1.138
13-05-2016	1.1294
16-05-2016	1.1328
17-05-2016	1.1337
18-05-2016	1.1276
19-05-2016	1.1214
20-05-2016	1.1207
23-05-2016	1.1192
24-05-2016	1.1145
25-05-2016	1.1154
26-05-2016	1.1184
27-05-2016	1.114
30-05-2016	.
31-05-2016	1.1135
01-06-2016	1.1165
02-06-2016	1.1157
03-06-2016	1.133
06-06-2016	1.1354
07-06-2016	1.135
08-06-2016	1.14
09-06-2016	1.1329
10-06-2016	1.1281
13-06-2016	1.1282
14-06-2016	1.1206
